grade,assay,value,sd,unit
Supreme,DPPH_IC50,30.67,2.0,μg/mL
Supreme,ABTS_IC50,11.11,2.0,μg/mL
Supreme,NO_inhibition,13.28,2.0,%
Supreme,Thrombus_area,18.14,2.0,pixel
Premium,DPPH_IC50,31.07,2.0,μg/mL
Premium,ABTS_IC50,29.64,2.0,μg/mL
Premium,NO_inhibition,35.06,2.0,%
Premium,Thrombus_area,34.55,2.0,pixel
Special,DPPH_IC50,24.68,2.0,μg/mL
Special,ABTS_IC50,25.72,2.0,μg/mL
Special,NO_inhibition,19.74,2.0,%
Special,Thrombus_area,40.43,2.0,pixel
Grade I,DPPH_IC50,36.56,2.0,μg/mL
Grade I,ABTS_IC50,15.59,2.0,μg/mL
Grade I,NO_inhibition,24.79,2.0,%
Grade I,Thrombus_area,19.73,2.0,pixel
Grade II,DPPH_IC50,17.54,2.0,μg/mL
Grade II,ABTS_IC50,36.72,2.0,μg/mL
Grade II,NO_inhibition,13.58,2.0,%
Grade II,Thrombus_area,23.3,2.0,pixel
