Sample,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
Supreme-rep1,70.18,68.35,7.14,63.5,53.41,24.48,46.23,26.99,92.54,68.82,21.96,32.43,76.83,5.59,82.18
Supreme-rep2,80.5,40.12,6.62,91.31,56.72,71.79,21.26,49.92,88.47,64.29,14.29,13.96,74.5,53.9,74.7
Supreme-rep3,42.84,58.35,36.2,99.73,13.83,49.35,75.58,86.11,15.28,16.0,68.05,59.64,38.48,59.59,46.8
Premium-rep1,25.14,55.32,94.24,68.03,11.46,88.48,75.09,76.86,34.02,29.35,15.82,0.32,72.21,71.97,97.19
Premium-rep2,76.2,50.77,10.64,62.53,84.17,50.77,19.89,37.39,16.15,95.35,92.24,91.85,59.89,48.86,11.19
Premium-rep3,36.3,98.53,80.68,23.95,24.09,56.74,7.88,73.19,81.6,97.8,53.27,12.58,65.98,94.68,16.51
Special-rep1,52.77,60.66,96.44,92.89,75.53,68.99,71.29,39.9,67.17,37.34,89.96,45.15,24.79,6.4,2.1
Special-rep2,55.39,58.84,0.72,70.78,5.89,6.74,3.14,33.04,51.42,27.85,48.54,53.92,72.34,88.24,57.62
Special-rep3,24.3,47.3,40.71,9.43,65.9,35.43,41.11,86.38,5.42,65.35,64.62,6.06,72.82,80.06,10.93
Grade I-rep1,19.16,53.63,14.02,18.35,46.26,87.45,7.54,80.8,85.6,9.79,65.21,54.06,1.48,9.33,75.36
Grade I-rep2,23.64,40.64,48.14,86.47,90.24,16.46,0.22,39.04,92.65,78.51,28.52,69.66,73.05,78.34,66.19
Grade I-rep3,48.67,18.99,21.77,5.85,73.57,6.1,31.36,5.01,47.68,91.94,53.11,5.69,50.78,85.13,6.85
Grade II-rep1,6.8,86.18,40.38,94.16,56.97,57.89,3.97,8.2,65.74,56.52,31.64,26.08,66.97,31.42,26.56
Grade II-rep2,13.09,64.55,45.72,92.9,93.57,0.93,62.12,56.3,10.0,53.76,50.59,13.25,34.9,6.88,24.43
Grade II-rep3,28.5,43.82,54.32,30.25,98.39,80.71,52.89,66.79,55.46,93.18,10.36,87.81,26.45,88.97,74.24
