grade,attribute,score,sd
Supreme,bitterness,2.26,0.3
Supreme,astringency,2.2,0.3
Supreme,sweetness,1.93,0.3
Supreme,umami,1.15,0.3
Supreme,intensity,2.61,0.3
Premium,bitterness,1.44,0.3
Premium,astringency,4.23,0.3
Premium,sweetness,1.28,0.3
Premium,umami,2.03,0.3
Premium,intensity,3.2,0.3
Special,bitterness,4.1,0.3
Special,astringency,2.27,0.3
Special,sweetness,1.67,0.3
Special,umami,1.24,0.3
Special,intensity,3.31,0.3
Grade I,bitterness,3.71,0.3
Grade I,astringency,4.45,0.3
Grade I,sweetness,3.99,0.3
Grade I,umami,4.03,0.3
Grade I,intensity,2.33,0.3
Grade II,bitterness,2.59,0.3
Grade II,astringency,3.92,0.3
Grade II,sweetness,1.57,0.3
Grade II,umami,2.24,0.3
Grade II,intensity,3.35,0.3
