grade,metric,mean,sd,significance_letter
Supreme,TPC,21619,1080.95,a
Supreme,TFC,12456,622.8000000000001,a
Supreme,TFAA,28102,1405.1000000000001,a
Premium,TPC,22037,1101.8500000000001,a
Premium,TFC,13126,656.3000000000001,a
Premium,TFAA,29003,1450.15,a
Special,TPC,19914,995.7,a
Special,TFC,12571,628.5500000000001,a
Special,TFAA,31016,1550.8000000000002,a
Grade I,TPC,19419,970.95,a
Grade I,TFC,14771,738.5500000000001,a
Grade I,TFAA,31033,1551.65,a
Grade II,TPC,22654,1132.7,a
Grade II,TFC,14233,711.6500000000001,a
Grade II,TFAA,28356,1417.8000000000002,a
